Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2015,Celta Vigo,La Liga,Nolito,ESP,"FW,MF",27,1986,36,32,2966,33,13,13,10,3,4,11,0,0.39,0.39,0.79,0.3,0.7,https://fbref.com/en/players/b2d0ec1b/Nolito
2015,Real Madrid,La Liga,James Rodríguez,COL,"FW,MF",23,1991,29,29,2265,25.2,13,13,13,0,0,5,0,0.52,0.52,1.03,0.52,1.03,https://fbref.com/en/players/715bf047/James-Rodriguez
2019,Sevilla,La Liga,Pablo Sarabia,ESP,"MF,FW",26,1992,33,30,2724,30.3,13,13,12,1,1,9,0,0.43,0.43,0.86,0.4,0.83,https://fbref.com/en/players/9744ff80/Pablo-Sarabia
2010,Milan,Serie A,Ronaldinho,BRA,"FW,MF",29,1980,36,34,2886,32.1,12,13,7,5,8,6,0,0.37,0.41,0.78,0.22,0.62,https://fbref.com/en/players/34edcab0/Ronaldinho
2013,Lille,Ligue 1,Dimitri Payet,FRA,"FW,MF",25,1987,38,37,3214,35.7,12,13,12,0,0,3,0,0.34,0.36,0.7,0.34,0.7,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
2011,Chelsea,Premier League,Didier Drogba,CIV,FW,32,1978,36,30,2791,31,11,13,9,2,3,6,0,0.35,0.42,0.77,0.29,0.71,https://fbref.com/en/players/945dea33/Didier-Drogba
2013,Real Madrid,La Liga,Mesut Özil,GER,MF,23,1988,32,23,2035,22.6,9,13,9,0,0,5,0,0.4,0.57,0.97,0.4,0.97,https://fbref.com/en/players/16380240/Mesut-Ozil
2014,Monaco,Ligue 1,James Rodríguez,COL,"FW,MF",22,1991,34,30,2631,29.2,9,13,7,2,2,1,0,0.31,0.44,0.75,0.24,0.68,https://fbref.com/en/players/715bf047/James-Rodriguez
2017,Swansea City,Premier League,Gylfi Sigurðsson,ISL,"FW,MF",26,1989,38,37,3327,37,9,13,6,3,3,2,0,0.24,0.35,0.6,0.16,0.51,https://fbref.com/en/players/76dd1480/Gylfi-Sigurdsson
2020,Dortmund,Bundesliga,Thorgan Hazard,BEL,"FW,MF",26,1993,33,28,2380,26.4,7,13,7,0,0,3,0,0.26,0.49,0.76,0.26,0.76,https://fbref.com/en/players/50871bcc/Thorgan-Hazard
2011,Napoli,Serie A,Ezequiel Lavezzi,ARG,"FW,MF",25,1985,31,29,2643,29.4,6,13,6,0,0,8,0,0.2,0.44,0.65,0.2,0.65,https://fbref.com/en/players/6d6456d7/Ezequiel-Lavezzi
2012,Chelsea,Premier League,Juan Mata,ESP,"FW,MF",23,1988,34,29,2515,27.9,6,13,6,0,0,2,0,0.21,0.47,0.68,0.21,0.68,https://fbref.com/en/players/29733c72/Juan-Mata
2016,Tottenham,Premier League,Christian Eriksen,DEN,MF,23,1992,35,33,2933,32.6,6,13,6,0,0,2,0,0.18,0.4,0.58,0.18,0.58,https://fbref.com/en/players/980522ec/Christian-Eriksen
2012,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",26,1985,38,37,3350,37.2,46,12,34,12,13,4,0,1.24,0.32,1.56,0.91,1.24,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo
2018,Barcelona,La Liga,Lionel Messi,ARG,FW,30,1987,36,32,3000,33.3,34,12,32,2,4,3,0,1.02,0.36,1.38,0.96,1.32,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2014,Liverpool,Premier League,Luis Suárez,URU,FW,26,1987,33,33,2962,32.9,31,12,31,0,0,6,0,0.94,0.36,1.31,0.94,1.31,https://fbref.com/en/players/a6154613/Luis-Suarez
2017,Barcelona,La Liga,Luis Suárez,URU,FW,29,1987,35,34,2857,31.7,28,12,28,0,0,8,0,0.88,0.38,1.26,0.88,1.26,https://fbref.com/en/players/a6154613/Luis-Suarez
2018,Barcelona,La Liga,Luis Suárez,URU,FW,30,1987,33,32,2899,32.2,25,12,24,1,1,9,0,0.78,0.37,1.15,0.75,1.12,https://fbref.com/en/players/a6154613/Luis-Suarez
2021,Lyon,Ligue 1,Memphis Depay,NED,FW,26,1994,37,33,2923,32.5,20,12,12,8,8,4,0,0.62,0.37,0.99,0.37,0.74,https://fbref.com/en/players/8f696594/Memphis-Depay
2021,Manchester Utd,Premier League,Bruno Fernandes,POR,MF,25,1994,37,35,3099,34.4,18,12,9,9,10,6,0,0.52,0.35,0.87,0.26,0.61,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
2012,Palermo,Serie A,Fabrizio Miccoli,ITA,FW,32,1979,28,24,1953,21.7,16,12,14,2,2,6,0,0.74,0.55,1.29,0.65,1.2,https://fbref.com/en/players/80221e9b/Fabrizio-Miccoli
2014,Real Sociedad,La Liga,Carlos Vela,MEX,"FW,MF",24,1989,37,35,3108,34.5,16,12,14,2,2,4,0,0.46,0.35,0.81,0.41,0.75,https://fbref.com/en/players/e0cd04e0/Carlos-Vela
2014,Real Madrid,La Liga,Gareth Bale,WAL,"FW,MF",24,1989,27,24,2062,22.9,15,12,15,0,0,3,0,0.65,0.52,1.18,0.65,1.18,https://fbref.com/en/players/a58bb1e1/Gareth-Bale
2012,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",28,1983,32,27,2379,26.4,12,12,12,0,0,5,1,0.45,0.45,0.91,0.45,0.91,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2013,Roma,Serie A,Francesco Totti,ITA,"FW,MF",35,1976,34,33,2811,31.2,12,12,9,3,4,7,1,0.38,0.38,0.77,0.29,0.67,https://fbref.com/en/players/ed75b6c7/Francesco-Totti
2013,Barcelona,La Liga,Cesc Fàbregas,ESP,"FW,MF",25,1987,32,30,2296,25.5,11,12,11,0,0,7,0,0.43,0.47,0.9,0.43,0.9,https://fbref.com/en/players/33508c78/Cesc-Fabregas
2013,Chelsea,Premier League,Juan Mata,ESP,"FW,MF",24,1988,35,31,2727,30.3,11,12,11,0,0,3,0,0.36,0.4,0.76,0.36,0.76,https://fbref.com/en/players/29733c72/Juan-Mata
2013,Dortmund,Bundesliga,Jakub Błaszczykowski,POL,MF,26,1985,27,23,1926,21.4,11,12,8,3,4,1,0,0.51,0.56,1.07,0.37,0.93,https://fbref.com/en/players/2b350e6b/Jakub-Blaszczykowski
2013,Real Madrid,La Liga,Karim Benzema,FRA,FW,24,1987,30,19,1770,19.7,11,12,11,0,0,0,0,0.56,0.61,1.17,0.56,1.17,https://fbref.com/en/players/70d74ece/Karim-Benzema
2010,Wolfsburg,Bundesliga,Zvjezdan Misimović,BIH,MF,27,1982,31,31,2761,30.7,10,12,10,0,0,7,0,0.33,0.39,0.72,0.33,0.72,https://fbref.com/en/players/0b51984b/Zvjezdan-Misimovic
2016,Roma,Serie A,Miralem Pjanić,BIH,MF,25,1990,33,30,2649,29.4,10,12,9,1,1,11,1,0.34,0.41,0.75,0.31,0.71,https://fbref.com/en/players/ad6df2d5/Miralem-Pjanic
2016,West Ham,Premier League,Dimitri Payet,FRA,"FW,MF",28,1987,30,29,2568,28.5,9,12,9,0,0,3,0,0.32,0.42,0.74,0.32,0.74,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
2016,Juventus,Serie A,Paul Pogba,FRA,MF,22,1993,35,33,3019,33.5,8,12,7,1,2,10,0,0.24,0.36,0.6,0.21,0.57,https://fbref.com/en/players/867239d3/Paul-Pogba
2016,Southampton,Premier League,Dušan Tadić,SRB,"MF,FW",26,1988,34,27,2279,25.3,8,12,7,1,1,2,0,0.32,0.47,0.79,0.28,0.75,https://fbref.com/en/players/2475dcc6/Dusan-Tadic
